Industry,co2_c,ch4_c,n2o_c,sox_c,nox_c,pm10_c,pm2.5_c,co2_nc,ch4_nc,n2o_nc,sox_nc,nox_nc,pm10_nc,pm2.5_nc,sf6,hfc,pfc
Cultivation of paddy rice,7.38E+05,29.416,85.07,1745.9,3719,226.93,173.16,21815,1469,19.492,28.999,18.812,6.7394,4.4425,0.092365,554.25,97.664
Cultivation of wheat,1.15E+06,56.972,214.72,2237.9,7384.9,416.64,359.4,34319,2265.6,18.326,33.235,20.046,8.5327,5.9307,0.16784,806.76,116.9
Cultivation of cereal grains nec,1.26E+06,65.645,310.35,2470.6,9838.1,527.04,484.83,26225,2057.5,22.419,34.35,21.323,7.4261,5.1796,0.21946,766.21,109.15
"Cultivation of vegetables, fruit, nuts",6.54E+05,28.367,66.567,1553.7,3226.7,203.11,154.98,18988,1616.8,16.98,32.186,18.921,8.1832,5.705,0.065638,566.5,90.664
Cultivation of oil seeds,8.44E+05,39.784,154.51,1793,5499,306.26,263.93,23892,1857.6,19.96,30.23,19.04,6.7663,4.6332,0.11599,582.24,106.96
"Cultivation of sugar cane, sugar beet",9.13E+05,39.728,86.898,1961.9,4016.1,247,182.55,30387,2480.2,19.101,31.102,18.768,8.1909,5.5145,0.38974,961.32,150.38
Cultivation of plant-based fibers,1.08E+06,40.649,96.667,2492,8739.8,285.85,223.32,34922,2664.1,47.16,72.506,40.74,12.711,8.8001,0.084998,1021.4,179.49
Cultivation of crops nec,8.18E+05,35.01,49.353,1778.9,3122.2,202.5,135.74,29958,2350,24.876,38.393,24.035,8.9988,6.2378,0.2698,1061.5,124.54
Cattle farming,8.07E+05,35.6,104.78,1855.2,4382.3,264.72,210.82,29178,2307.1,17.461,32.473,19.94,8.5195,5.9554,0.10327,699.76,114.57
Pigs farming,4.48E+05,16.943,26.101,1120.2,1685.5,121.52,82.6,12336,932.53,8.2744,17.837,10.925,5.1748,3.5343,0.059826,361.25,58.125
Poultry farming,8.41E+05,37.03,67.271,2130.4,3811.6,286.7,219.46,24353,3127.2,16.701,48.211,27.699,16.008,10.617,0.084385,717.3,118.27
Meat animals nec,6.02E+05,30.107,135.14,1273.7,4545,250.51,223.77,18967,941.72,7.9289,17.113,9.4125,5.2789,3.5516,0.074982,440.93,115.11
Animal products nec,5.11E+05,20.353,34.348,1347,2237.9,156.08,105.58,42348,2443.2,10.202,27.227,13.38,10.234,6.9752,0.052364,884.19,273.98
Raw milk,7.22E+05,28.266,48.948,1757.6,3434.2,198.91,142.17,24517,1825.1,14.992,32.2,18.712,8.9823,6.2404,0.12067,642.18,123.01
"Wool, silk-worm cocoons",5.39E+05,22.245,60.552,1291.8,2775.9,170.66,129.78,19992,1111.8,8.5971,18.67,10.161,5.8686,3.8787,0.07158,499.02,128.23
"Manure treatment (conventional), storage and land application",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manure treatment (biogas), storage and land application",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forestry, logging and related service activities",8.75E+05,74.147,74.868,1755,2741.6,734.41,707.77,16034,923.67,7.9103,18.501,9.4099,5.1765,3.6083,0.30406,852.12,123.7
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",6.33E+05,35.272,140.89,2156.3,8936.3,250.41,219.29,35411,3424.5,7.0989,18.241,8.4139,6.7215,4.8082,0.052875,938.73,161.23
Mining of coal and lignite; extraction of peat,6.72E+05,24.703,33.086,1976.3,2299.8,171.3,105.76,37316,2.29E+05,5.0042,23.556,9.316,177.78,5.7234,0.79912,1346.6,226.61
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",4.28E+05,18.618,24.346,1003.4,1410.4,123.31,82.346,2.96E+05,1.08E+05,12.561,29.395,18.49,11.775,7.2208,0.080034,478.66,208.79
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.43E+06,39.763,36.969,1035.6,3240,146.15,103.79,40913,1063.4,7.9262,23.073,16.046,9.7357,5.8944,0.17946,500.49,147.05
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",1.52E+06,48.901,40.378,2142.9,4317.3,203.16,131.36,76588,5863.3,20.052,42.662,26.406,15.208,10.35,0.12835,1103.3,192.65
Mining of uranium and thorium ores,1.13E+06,28.362,25.923,3272.8,3492.9,252.82,137.75,62970,2789,4.3917,15.557,7.1214,23.674,11.654,0.04231,301.94,123.48
Mining of iron ores,1.07E+06,36.697,45.515,2756.9,3442.7,269.79,169.25,1.07E+05,2930.4,7.4654,61.831,20.77,21.535,12.254,0.22687,794.8,344.01
Mining of copper ores and concentrates,2.07E+06,95.314,194.57,3748.5,8288.6,469.11,309.78,19085,2684.5,2.5774,11.996,4.7401,11.68,3.384,1.5615,1920,107.52
Mining of nickel ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining of aluminium ores and concentrates,1.00E+06,28.31,30.637,2779.4,3125.9,236.86,138.65,72217,2698.3,12.066,28.529,14.824,24.837,12.926,0.1081,537.51,165.93
Mining of precious metal ores and concentrates,1.28E+06,41.698,59.375,3269,4268,304.13,183.66,76746,2764.1,8.6262,30.095,12.985,24.668,12.632,0.33513,883.52,203.65
"Mining of lead, zinc and tin ores and concentrates",2.57E+06,99.069,180.61,5495.1,9490,563.86,346.31,30077,3154.4,3.7238,17.911,6.8476,12.97,4.6053,1.3352,1764.1,135.81
Mining of other non-ferrous metal ores and concentrates,1.25E+06,40.655,70.627,3039.8,4253.2,306.72,192.74,84409,2501.9,12.073,41.349,17.572,23.842,12.836,0.48823,1164.1,279.45
Quarrying of stone,8.28E+05,30.925,59.834,1856.1,3153,198.88,128.55,47388,1822.8,3.4591,15.916,6.6806,15.983,8.2379,2.1634,2667.2,151.39
Quarrying of sand and clay,9.80E+05,35.404,62.559,2273.2,3595.9,232.63,147.31,41611,2423.8,4.1011,22.678,9.074,12.676,6.9207,2.2082,2750.5,193.64
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.14E+06,31.504,34.851,3122.6,3673.5,254.32,141.54,6.32E+05,3102.9,76.33,69.264,71.969,115.59,100.89,0.38569,813.16,180.56
Processing of meat cattle,8.55E+05,39.87,124.43,2004.9,4279.5,291.57,230.02,33027,2119.5,16.292,35.155,23.348,9.842,6.9165,0.095362,789.56,114.61
Processing of meat pigs,7.13E+05,34.097,76.246,1964.1,2284.5,256.8,194.91,15902,1118.8,7.0305,37.679,21.268,13.537,9.5774,0.047843,466.68,72.195
Processing of meat poultry,8.62E+05,46.508,95.081,2284,3083.2,331.89,257.99,19433,1920.2,11.959,69.245,36.583,25.127,17.88,0.064676,708.6,119.32
Production of meat products nec,7.90E+05,37.266,35.512,2438.7,2646.8,305.75,232.46,15749,1408.9,8.9706,64.272,31.881,23.073,16.475,0.033076,630.82,150.22
Processing vegetable oils and fats,9.59E+05,45.167,113.06,2655,4829.4,394.17,324.86,29516,1982.5,21.028,57.679,33.574,16.923,11.896,0.093578,761.58,133.13
Processing of dairy products,7.69E+05,39.75,42.013,2206.7,2982.3,306.58,236.29,23812,1624.1,15.604,74.276,39.51,25.63,18.527,0.070045,818.47,153.73
Processed rice,1.46E+06,67.897,85.342,4087.4,4754.6,510.02,395.52,18013,10047,6.3123,32.716,17.162,18.704,8.3963,0.19863,642.24,111.24
Sugar refining,1.03E+06,55.845,63.698,3428.9,3690.9,500.2,412.8,25237,2515.7,15.123,89.096,45.678,32.273,23.099,0.18648,1452.2,199.48
Processing of Food products nec,9.27E+05,47.326,62.992,2179.1,3301.7,349.09,282.06,24911,1414.5,18.117,83.808,46.007,28.562,20.767,0.06217,899.78,144.28
Manufacture of beverages,8.91E+05,50.418,58.879,2412.3,2959.2,379.6,293.07,56840,1475.7,18.172,145.56,56.32,53.149,35.623,0.067035,1401.8,960.27
Manufacture of fish products,7.72E+05,40.036,58.243,2639.6,4120.5,351.24,273.88,28230,2034.2,17.581,65.912,28.996,19.551,13.854,0.034629,1216.7,231.87
Manufacture of tobacco products,2.45E+05,39.378,18.221,735.52,994.54,231.12,204.47,14740,609.51,10.169,52.079,27.092,17.51,12.819,0.026455,463.21,116.86
Manufacture of textiles,8.58E+05,33.189,46.363,2347.2,2851.2,283.52,179.92,31396,1746.8,69.655,90.837,68.199,15.437,10.843,0.045204,3881.1,204.12
Manufacture of wearing apparel; dressing and dyeing of fur,4.97E+05,21.654,31.912,1379.3,1746.1,183.67,108.32,17429,862.91,18.638,34.485,21.154,8.096,5.6314,0.028703,3683.8,132.22
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",6.26E+05,28.221,35.913,1584.5,2031.6,208,144.85,23956,1065.4,20.574,51.8,29.274,13.569,9.5686,0.032882,1575.2,202.93
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",7.98E+05,123.31,79.516,1947.2,2832,740.2,672.98,36454,1096.2,14.509,36.684,19.138,13.818,8.9557,0.094303,1091.1,216.13
Re-processing of secondary wood material into new wood material,5.03E+06,1916.8,824.54,4829.8,26666,8550.6,8270.7,39690,1321.7,15.931,40.255,19.808,15.579,10.121,0.08834,1142.1,238.92
Pulp,2.04E+06,262.16,268.56,4393.1,5207.2,1516.6,1382.2,29141,2996.4,26.77,22432,11218,8966.3,6722.6,0.35385,1439.1,190.45
Re-processing of secondary paper into new pulp,7.20E+06,1984.4,303.4,14992,19477,10857,10576,26472,1186.5,31.536,22457,11235,8974.6,6729.7,0.61943,1409.2,155.5
Paper,9.24E+05,302.04,75.08,3642.1,4075.3,1751.9,1653.2,23090,1803.9,25.678,1060.6,530.78,414.5,309.64,0.061476,1401.9,192.51
"Publishing, printing and reproduction of recorded media",5.45E+05,45.363,33.264,1090.3,1585.4,263.17,219.17,13161,643.92,9.3618,96.626,49.227,35.879,26.502,0.020718,838.45,112.61
Manufacture of coke oven products,6.02E+07,1262.9,173.8,2456.7,1.75E+05,6347.5,6272.8,1.94E+08,82027,38.864,61.877,36.497,34679,31155,7.7574,9357.9,401.76
Petroleum Refinery,1.58E+06,56.782,38.637,3975.5,4816.5,259.04,164.04,3.12E+05,40617,40.269,72.264,37.601,43.772,35.538,0.10566,1957.4,321.07
Processing of nuclear fuel,1.67E+06,123.47,163.15,1751.1,6407.6,333.3,252.7,1.05E+05,12632,23.45,39.768,22.704,16.548,12.693,0.044199,778.54,153.56
