,date,alc,all,cerealandbake,dairy,fatsandoils,foodathome,foodaway,food,fruitsandveg,meatpoultryfisheggs,otherfood,sugarandsweets,quarter,year
0,1967-01-01,45.8,32.9,34.1,39.9,37.6,35.1,30.6,33.9,32.8,38.1,29.3,26.2,1,1967
1,1967-02-01,45.9,33.0,34.0,39.8,37.4,35.0,30.7,33.8,32.6,38.0,29.3,26.3,1,1967
2,1967-03-01,45.9,33.0,34.1,39.6,37.3,34.9,30.8,33.8,32.6,37.8,29.2,26.2,1,1967
3,1967-04-01,46.0,33.1,34.0,39.6,37.0,34.7,30.9,33.6,32.1,37.5,29.2,26.4,2,1967
4,1967-05-01,46.1,33.1,34.1,39.7,37.0,34.7,31.0,33.7,32.2,37.4,29.2,26.4,2,1967
5,1967-06-01,46.2,33.3,34.0,39.9,36.9,35.0,31.1,34.0,32.8,38.1,29.2,26.5,2,1967
6,1967-07-01,46.4,33.4,33.9,39.9,36.7,35.2,31.3,34.3,33.7,38.0,29.2,26.6,3,1967
7,1967-08-01,46.5,33.5,34.0,40.0,36.7,35.3,31.4,34.5,34.1,38.2,29.3,26.6,3,1967
8,1967-09-01,46.7,33.6,34.0,40.2,36.9,35.3,31.5,34.3,33.7,38.3,29.4,26.7,3,1967
9,1967-10-01,46.8,33.7,33.9,40.4,36.9,35.4,31.7,34.2,34.0,38.2,29.4,26.7,4,1967
10,1967-11-01,47.0,33.9,34.0,40.4,36.8,35.4,31.8,34.2,34.3,38.1,29.4,26.8,4,1967
11,1967-12-01,47.2,34.0,34.0,40.5,36.9,35.6,31.9,34.4,34.7,38.2,29.4,26.9,4,1967
12,1968-01-01,47.3,34.1,34.0,40.6,37.0,35.6,32.0,34.6,35.4,37.9,29.5,26.8,1,1968
13,1968-02-01,47.5,34.2,33.9,40.6,36.8,35.8,32.2,34.7,35.6,38.3,29.5,26.8,1,1968
14,1968-03-01,47.6,34.3,33.9,40.7,36.8,35.9,32.3,34.9,35.7,38.5,29.5,26.9,1,1968
15,1968-04-01,47.7,34.4,34.0,40.7,36.8,36.0,32.4,35.0,36.0,38.7,29.6,26.9,2,1968
16,1968-05-01,47.8,34.5,34.0,41.2,36.7,36.1,32.6,35.1,36.1,38.8,29.6,27.0,2,1968
17,1968-06-01,47.9,34.7,34.1,41.4,36.7,36.1,32.7,35.2,35.5,38.9,29.7,27.2,2,1968
18,1968-07-01,48.1,34.9,34.2,41.5,36.7,36.2,32.9,35.5,35.8,38.9,29.7,27.3,3,1968
19,1968-08-01,48.2,35.0,34.4,41.6,36.6,36.3,33.1,35.6,35.6,39.1,29.9,27.9,3,1968
20,1968-09-01,48.1,35.1,34.4,41.7,36.5,36.5,33.3,35.6,35.8,39.6,30.0,27.9,3,1968
21,1968-10-01,48.5,35.3,34.4,41.9,36.5,36.9,33.5,35.8,36.5,40.1,30.0,28.1,4,1968
22,1968-11-01,48.5,35.4,34.5,42.0,36.6,36.8,33.6,35.6,36.4,39.9,30.1,28.1,4,1968
23,1968-12-01,48.8,35.6,34.5,42.0,36.5,37.0,33.7,35.9,36.7,40.0,30.2,28.2,4,1968
24,1969-01-01,48.6,35.7,34.6,42.0,36.7,37.0,33.8,36.1,36.3,40.3,30.2,28.4,1,1969
25,1969-02-01,48.8,35.8,34.7,42.1,36.7,37.0,33.9,36.1,35.5,40.5,30.3,28.5,1,1969
26,1969-03-01,48.9,36.1,34.8,42.2,36.8,37.1,34.1,36.2,36.1,40.3,30.4,28.6,1,1969
27,1969-04-01,49.1,36.3,34.9,42.1,36.7,37.3,34.3,36.4,35.9,41.1,30.5,28.8,2,1969
28,1969-05-01,49.3,36.4,34.9,42.4,36.8,37.5,34.4,36.6,36.0,41.5,30.5,28.8,2,1969
29,1969-06-01,49.6,36.6,35.1,42.5,37.0,38.0,34.7,37.1,35.7,43.0,30.6,29.0,2,1969
30,1969-07-01,49.7,36.8,35.2,42.6,36.9,38.2,34.9,37.5,35.8,43.3,30.6,29.0,3,1969
31,1969-08-01,49.9,36.9,35.2,42.8,36.8,38.4,35.2,37.7,36.1,43.6,30.7,29.0,3,1969
32,1969-09-01,50.2,37.1,35.3,43.0,36.7,38.6,35.4,37.7,36.9,43.9,30.8,29.2,3,1969
33,1969-10-01,50.5,37.3,35.5,43.1,36.8,38.7,35.7,37.6,36.7,43.9,30.9,29.2,4,1969
34,1969-11-01,50.7,37.5,35.6,43.3,37.0,39.1,35.9,37.9,37.3,44.6,31.1,29.3,4,1969
35,1969-12-01,50.9,37.7,35.9,43.7,37.2,39.6,36.2,38.4,38.4,45.1,31.4,29.5,4,1969
36,1970-01-01,51.1,37.9,36.1,44.0,37.4,39.6,36.3,38.7,37.5,45.3,31.6,29.6,1,1970
37,1970-02-01,51.3,38.1,36.3,44.2,37.4,39.9,36.5,38.9,37.7,45.6,31.8,29.7,1,1970
38,1970-03-01,51.5,38.3,36.5,44.4,37.7,39.8,36.8,38.9,37.7,45.0,32.1,30.0,1,1970
39,1970-04-01,51.7,38.5,36.7,44.4,38.3,39.8,37.1,39.1,37.7,44.8,32.4,30.2,2,1970
40,1970-05-01,52.0,38.6,36.8,44.5,39.1,40.0,37.3,39.2,37.9,44.9,32.7,30.5,2,1970
41,1970-06-01,52.0,38.8,36.8,44.6,39.3,39.9,37.4,39.3,38.0,44.5,32.8,30.6,2,1970
42,1970-07-01,52.0,38.9,37.0,44.8,39.6,39.9,37.7,39.5,37.2,44.7,33.1,30.7,3,1970
43,1970-08-01,52.3,39.0,37.4,44.8,39.7,39.9,37.8,39.5,37.4,44.2,33.2,30.8,3,1970
44,1970-09-01,52.5,39.2,37.5,45.0,39.8,40.1,38.0,39.4,38.2,44.2,33.4,30.9,3,1970
45,1970-10-01,52.7,39.4,37.8,45.2,40.2,40.2,38.1,39.4,38.3,44.1,33.6,31.0,4,1970
46,1970-11-01,52.9,39.6,37.9,45.4,40.4,40.1,38.3,39.2,37.7,43.8,33.7,31.1,4,1970
47,1970-12-01,53.0,39.8,38.0,45.4,40.9,40.1,38.4,39.3,37.8,43.7,33.8,31.2,4,1970
48,1971-01-01,53.4,39.9,38.3,45.6,41.3,39.9,38.6,39.4,36.9,43.3,33.9,31.2,1,1971
49,1971-02-01,53.5,39.9,38.4,45.6,41.7,40.0,38.7,39.5,37.7,43.0,34.0,31.3,1,1971
50,1971-03-01,53.7,40.0,38.5,45.7,41.9,40.3,38.8,39.9,38.5,43.5,34.1,31.3,1,1971
51,1971-04-01,53.9,40.1,38.8,45.8,42.4,40.7,39.0,40.1,39.4,43.8,34.2,31.5,2,1971
52,1971-05-01,54.0,40.3,38.8,46.0,42.6,40.9,39.2,40.3,39.5,44.2,34.2,31.6,2,1971
53,1971-06-01,54.2,40.5,38.9,46.3,42.6,41.1,39.3,40.6,40.0,44.5,34.3,31.7,2,1971
54,1971-07-01,54.3,40.6,39.1,46.4,42.7,41.1,39.5,40.8,40.1,44.3,34.4,31.8,3,1971
55,1971-08-01,54.4,40.7,39.0,46.4,43.1,41.1,39.7,40.9,40.2,44.3,34.5,31.9,3,1971
56,1971-09-01,54.5,40.8,39.0,46.4,43.4,41.1,39.9,40.6,40.0,44.1,34.5,31.9,3,1971
